site_name,latitude,longitude,buffer_m,slope_min,slope_max,slope_mean,slope_std,slope_median,slope_percentile_90,aspect_min,aspect_max,aspect_mean,aspect_std,aspect_median,timestamp
tavira_west,37.105,-7.68,4000,0.0,36.916019439697266,1.927833313561827,2.2870060002381387,1.2785332202911377,4.454235553741455,0.0,359.9957275390625,194.59991287572345,109.63499909438667,179.99998474121094,2026-06-06T01:03:17.189418
ilha_de_tavira,37.095,-7.72,4000,0.0,21.765378952026367,2.313593869083726,2.2101374738672845,1.6823370456695557,5.079041481018066,0.0,359.9957275390625,190.30000155537928,119.37285102172454,202.45724487304688,2026-06-06T01:03:17.189418
fuseta,37.06,-7.76,4000,0.0,19.83338737487793,2.1022488563159367,2.2630949136703324,1.5249173641204834,5.09593391418457,0.0,359.99462890625,184.93081878442723,103.53962359523197,179.99998474121094,2026-06-06T01:03:17.189418
olhao_offshore,37.035,-7.82,4000,0.0,22.384347915649414,2.0877091891513397,2.4403003038004143,1.3782439231872559,5.2934064865112305,0.0,359.9902038574219,181.10998039398748,98.08592246392766,179.99998474121094,2026-06-06T01:03:17.189418
faro_east,37.01,-7.88,4000,0.0,23.74822425842285,0.9695871230242074,1.3899622245379504,0.5302257537841797,2.5661582946777344,0.0,359.9941711425781,178.80106723917982,93.16973250328633,179.99998474121094,2026-06-06T01:03:17.189418
praia_de_faro,36.98,-7.94,4000,0.0,10.665189743041992,0.42972161505723794,0.8416308766514528,0.0,1.3514456748962402,0.0,359.9894714355469,176.9481903162086,66.4410243612422,179.99998474121094,2026-06-06T01:03:17.189418
ancao_peninsula,36.965,-8.0,4000,0.0,8.384770393371582,0.013542911921709483,0.2558498156020672,0.0,0.0,0.0,356.1435852050781,179.69542831365595,7.613509956481386,179.99998474121094,2026-06-06T01:03:17.189418
quarteira,37.065,-8.1,4000,0.0,23.445470809936523,1.8321047029317987,2.521322648328043,0.4734318256378174,5.410953521728516,0.0,359.9878845214844,174.14340150867096,82.02163464118335,179.99998474121094,2026-06-06T01:03:17.189418
vilamoura,37.075,-8.13,4000,0.0,36.94491195678711,1.612300189452882,2.589868138675683,0.1536249816417694,4.844552993774414,0.0,359.9970397949219,174.423954313457,80.42520215710478,179.99998474121094,2026-06-06T01:03:17.189418
olhos_de_agua,37.09,-8.16,4000,0.0,38.528377532958984,1.9778672981173175,2.9294217879881566,0.9967240691184998,5.080775260925293,0.0,359.9970397949219,179.53121207406255,90.1005519657157,179.99998474121094,2026-06-06T01:03:17.189418
pedra_sta_eulalia,37.069081,-8.210242,4000,0.0,38.528377532958984,1.0761756732579306,2.875726068942345,0.0,4.234169006347656,0.0,359.9903869628906,179.937178150816,54.23626400557904,179.99998474121094,2026-06-06T01:03:17.189418
albufeira_reef,37.069,-8.2105,4000,0.0,38.528377532958984,1.0716186149274167,2.86859788413354,0.0,4.2255377769470215,0.0,359.9903869628906,179.9678548645579,54.08308649183617,179.99998474121094,2026-06-06T01:03:17.189418
gale,37.056,-8.2296,4000,0.0,30.90851593017578,0.32575182426202853,1.8106868181282296,0.0,0.0,0.0,359.8814392089844,180.3424934644591,28.378093674493126,179.99998474121094,2026-06-06T01:03:17.189418
salgados,37.095,-8.3,4000,0.0,37.61786651611328,3.3585070795083243,3.7242840170204223,2.5183908939361572,7.783911228179932,0.0,359.9919738769531,167.15428660339194,97.66411157425544,179.99998474121094,2026-06-06T01:03:17.189418
armacao_de_pera,37.07,-8.36,4000,0.0,36.213417053222656,0.3601358808237244,1.8130905628880452,0.0,0.0,0.0,359.9175109863281,179.11876196256011,33.474803995081665,179.99998474121094,2026-06-06T01:03:17.189418
